feature,success,n_obs,n_speakers,age_ref,formula,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p_adj_fdr::C(age_bucket, Treatment(reference='Older'))[T.Younger]","sig_fdr_0_05::C(age_bucket, Treatment(reference='Older'))[T.Younger]"
F0msemax,True,6465,81,Older,"F0msemax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",292.2058688674905,2.5215666517399678e-08,2.5215666517399674e-07,True
F0tiltmin,True,6465,81,Older,"F0tiltmin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.01612557566264099,0.9997415162544906,0.9997415162544906,False
F0tiltmax,True,6465,81,Older,"F0tiltmax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",56.50448172984687,0.05675617197466079,0.10641782245248899,False
F0msestd,True,6465,81,Older,"F0msestd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",95.97062238754529,3.035246317215263e-10,9.105738951645788e-09,True
F0mseavg,True,6465,81,Older,"F0mseavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",47.329549868805756,0.00019447442292601692,0.001458558171945127,True
F0tiltstd,True,6465,81,Older,"F0tiltstd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",14.728908278177146,0.3025150124499485,0.3495717017380452,False
F0tiltavg,True,6465,81,Older,"F0tiltavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",6.984000476274277,0.7477075283340306,0.7734905465524455,False
F0msemin,True,6465,81,Older,"F0msemin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-3.088525303314591,0.375235710762596,0.40203826153135286,False
avgtiltEunvoiced,True,6465,81,Older,"avgtiltEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",9.687197046746196,6.846218072620868e-09,1.0269327108931303e-07,True
kurtosisEunvoiced,True,6465,81,Older,"kurtosisEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",17.002263480305004,0.0061398574397858565,0.026313674741939384,True
1F0max,True,6465,81,Older,"Q(""1F0max"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.7432215913378055,0.30296214150630585,0.3495717017380452,False
lastF0max,True,6465,81,Older,"lastF0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.871960535990866,0.004645005202271617,0.023225026011358084,True
1F0mean,True,6465,81,Older,"Q(""1F0mean"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.754277183742381,0.21070045654640035,0.2748266824518265,False
lastF0avg,True,6465,81,Older,"lastF0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.4138336067190242,0.03667123387248255,0.08462592432111357,False
1F0min,True,6465,81,Older,"Q(""1F0min"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.961260395744274,0.14438721728111656,0.20626745325873796,False
lastF0min,True,6465,81,Older,"lastF0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",2.289807789608522,0.16662919651003805,0.22722163160459735,False
maxdurvoiced,True,6465,81,Older,"maxdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",2.775586068740757,0.28771046295185665,0.3495717017380452,False
F0max,True,6465,81,Older,"F0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",6.965449641790243,0.0045800158127713535,0.023225026011358084,True
kurtosisdurvoiced,True,6465,81,Older,"kurtosisdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-6.8656966014359515,0.08926447630278923,0.1575255464166869,False
F0avg,True,6465,81,Older,"F0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",5.815649127555901,0.04545158451766662,0.09739625253785704,False
F0min,True,6465,81,Older,"F0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.791399337960107,0.02510211509418091,0.06493057906860335,False
1F0std,True,6465,81,Older,"Q(""1F0std"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.46283457675531,0.324650952129392,0.36072328014376887,False
lastF0std,True,6465,81,Older,"lastF0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.6151033763545604,0.00856847839981665,0.03213179399931244,True
max1Eunvoiced,True,6465,81,Older,"max1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.1581515496816408,0.09711194137922406,0.1618532356320401,False
F0std,True,6465,81,Older,"F0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",1.992066977017583,0.011460512706847005,0.038201709022823355,True
maxlastEunvoiced,True,6465,81,Older,"maxlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.4614599668552097,0.017542181423863726,0.05262654427159118,False
kurtosismseEunvoiced,True,6465,81,Older,"kurtosismseEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.1638876771672506,0.11821191038007063,0.18665038481063784,False
kurtosis1Eunvoiced,True,6465,81,Older,"kurtosis1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.2978261364316033,0.02597223162744134,0.06493057906860335,False
std1Eunvoiced,True,6465,81,Older,"std1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.043625217453237,0.13280115535715217,0.19920173303572827,False
stdlastEunvoiced,True,6465,81,Older,"stdlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.9075675710960577,0.052954335384824795,0.10590867076964959,False
